Date,Value
2020-02-29,-0.038705950317735
2020-01-31,-0.03886925795053
2019-12-31,-0.023781212841855
2019-11-30,-0.0089445438282648
2019-10-31,-0.0035294117647059
2019-09-30,0.012180974477957998
2019-08-31,0.017241379310345
2019-07-31,0.014933946008041
2019-06-30,0.022740524781340997
2019-05-31,0.038805970149254
2019-04-30,0.028571428571429
2019-03-31,0.020094562647754
2019-02-28,0.0052724077328647
2019-01-31,-0.0058548009367682
2018-12-31,-0.0076696165191739996
2018-11-30,0.0053956834532374
2018-10-31,0.032806804374241
2018-09-30,0.05702023298589799
2018-08-31,0.06945298094652701
2018-07-31,0.06548347613219099
2018-06-30,0.043822276323798
2018-05-31,0.017000607164542
2018-04-30,0.015719467956469002
2018-03-31,0.020506634499397
2018-02-28,0.022155688622755004
2018-01-31,0.017272185824896
2017-12-31,0.0071301247771836
2017-11-30,-0.0083234244946492
2017-10-31,-0.024303497332543
2017-09-30,-0.042840375586855
2017-08-31,-0.050758459743290005
2017-07-31,-0.052753623188406
2017-06-30,-0.049739733950260004
2017-05-31,-0.037405026300409
2017-04-30,-0.020142180094787
2017-03-31,-0.0018061408789886
2017-02-28,0.0066305003013864
2017-01-31,0.0084084084084084
2016-12-31,0.0083882564409826
2016-11-30,0.01021021021021
2016-10-31,0.009575104727708
2016-09-30,0.0088809946714032
2016-08-31,0.0023391812865497
2016-07-31,0.0099531615925059
2016-06-30,0.023682652457075
2016-05-31,0.030722891566265
2016-04-30,0.029268292682927004
2016-03-31,0.027210884353741003
2016-02-29,0.04077791718946
2016-01-31,0.066623959000641
2015-12-31,0.09227748691099501
2015-11-30,0.11296791443849999
2015-10-31,0.13211382113821
2015-09-30,0.1656314699793
2015-08-31,0.19246861924685998
2015-07-31,0.21048901488306002
2015-06-30,0.21598272138229002
2015-05-31,0.19682768565249
2015-04-30,0.16541823619059
2015-03-31,0.10149863760218
2015-02-28,0.06195869420386401
2015-01-31,0.040666666666667003
2014-12-31,0.020026702269693
2014-11-30,0.0026809651474531
2014-10-31,-0.0067294751009421
2014-09-30,-0.034643570952697995
2014-08-31,-0.055335968379446994
2014-07-31,-0.08708769633507801
2014-06-30,-0.12412424547925999
2014-05-31,-0.12036971661477999
2014-04-30,-0.07668821600669
2014-03-31,0.0072069319854474
2014-02-28,0.083754512635379
2014-01-31,0.1119347664937
2013-12-31,0.12546957175056
2013-11-30,0.13806254767353
2013-10-31,0.1618451915559
2013-09-30,0.20465489566613
2013-08-31,0.22815533980582997
2013-07-31,0.25653761389428004
2013-06-30,0.27257963671206004
2013-05-31,0.24414045343107998
2013-04-30,0.17108167770419003
2013-03-31,0.053305933201208
2013-02-28,-0.015636105188344
2013-01-31,-0.06614197487641299
2012-12-31,-0.11088844355376999
2012-11-30,-0.12190221031479999
2012-10-31,-0.1552179656539
2012-09-30,-0.18241469816273
2012-08-31,-0.19321148825065
2012-07-31,-0.19973975276512998
2012-06-30,-0.18827361563518
2012-05-31,-0.17351598173516
2012-04-30,-0.15602613555853
2012-03-31,-0.093709043250328
2012-02-29,-0.074950690335306
2012-01-31,-0.047519324525307
2011-12-31,-0.0086092715231788
2011-11-30,-0.009946949602122
2011-10-31,0.0006609385327164599
2011-09-30,-0.0065189048239896
